Date; 22099 - Quarterly GDP - observed data - GDP at market prices - Index
1 Quar,1995;100,00
2 Quar,1995;100,00
3 Quar,1995;100,00
4 Quar,1995;100,00
1 Quar,1996;96,84
2 Quar,1996;100,12
3 Quar,1996;107,56
4 Quar,1996;104,31
1 Quar,1997;100,13
2 Quar,1997;104,88
3 Quar,1997;109,49
4 Quar,1997;108,21
1 Quar,1998;101,14
2 Quar,1998;106,46
3 Quar,1998;109,88
4 Quar,1998;106,66
1 Quar,1999;101,92
2 Quar,1999;106,04
3 Quar,1999;109,20
4 Quar,1999;108,97
1 Quar,2000;106,40
2 Quar,2000;110,25
3 Quar,2000;114,19
4 Quar,2000;113,98
1 Quar,2001;110,10
2 Quar,2001;112,82
3 Quar,2001;114,71
4 Quar,2001;113,38
1 Quar,2002;110,63
2 Quar,2002;115,41
3 Quar,2002;119,50
4 Quar,2002;119,24
1 Quar,2003;113,58
2 Quar,2003;116,31
3 Quar,2003;120,25
4 Quar,2003;119,94
1 Quar,2004;117,98
2 Quar,2004;123,65
3 Quar,2004;128,14
4 Quar,2004;127,39
1 Quar,2005;122,92
2 Quar,2005;129,18
3 Quar,2005;130,85
4 Quar,2005;130,13
1 Quar,2006;128,18
2 Quar,2006;132,13
3 Quar,2006;136,72
4 Quar,2006;136,37
1 Quar,2007;134,84
2 Quar,2007;140,77
3 Quar,2007;144,75
4 Quar,2007;145,43
1 Quar,2008;143,14
2 Quar,2008;149,69
3 Quar,2008;154,86
4 Quar,2008;146,92
1 Quar,2009;139,67
2 Quar,2009;146,39
3 Quar,2009;153,06
4 Quar,2009;154,75
1 Quar,2010;152,53
2 Quar,2010;158,86
3 Quar,2010;163,63
4 Quar,2010;163,55
1 Quar,2011;160,45
2 Quar,2011;166,33
3 Quar,2011;169,41
4 Quar,2011;167,75
1 Quar,2012;163,19
2 Quar,2012;167,97
3 Quar,2012;173,63
4 Quar,2012;171,91
1 Quar,2013;167,63
2 Quar,2013;174,73
3 Quar,2013;178,42
4 Quar,2013;176,26
1 Quar,2014;173,45
2 Quar,2014;173,97
3 Quar,2014;177,28
4 Quar,2014;175,86
1 Quar,2015;170,64
2 Quar,2015;169,20
3 Quar,2015;169,72
4 Quar,2015;166,15
1 Quar,2016;161,87
2 Quar,2016;163,75
3 Quar,2016;165,55
4 Quar,2016;162,40
1 Quar,2017;162,34
2 Quar,2017;165,05
3 Quar,2017;168,27
4 Quar,2017;166,56
1 Quar,2018;165,37
2 Quar,2018;167,67
3 Quar,2018;171,73
4 Quar,2018;169,25
1 Quar,2019;167,10
2 Quar,2019;169,84
3 Quar,2019;173,62
4 Quar,2019;171,69
1 Quar,2020;166,89
2 Quar,2020;151,61
3 Quar,2020;167,19
4 Quar,2020;170,10
1 Quar,2021;169,04
2 Quar,2021;170,26
3 Quar,2021;173,88
4 Quar,2021;172,91
