Data,Expectativa média de Inflação - IPCA - taxa acumulada para os próximos doze meses - (% a.a.) - Banco Central do Brasil- Boletim- Seção Atividade Econômica (Bacen / Boletim / Ativ. Ec.) - BM12_IPCAEXP1212,
2001.07,6.4,
2001.08,6.57,
2001.09,6.53,
2001.10,6.49,
2001.11,5.57,
2001.12,4.84,
2002.01,4.76,
2002.02,4.7,
2002.03,4.94,
2002.04,4.9,
2002.05,4.37,
2002.06,4.57,
2002.07,5.08,
2002.08,5.4,
2002.09,6.28,
2002.10,8.94,
2002.11,12.47,
2002.12,13.24,
2003.01,11.72,
2003.02,11.07,
2003.03,9.9,
2003.04,9.18,
2003.05,8.23,
2003.06,7.08,
2003.07,6.39,
2003.08,6.32,
2003.09,6.56,
2003.10,6.15,
2003.11,5.8,
2003.12,5.92,
2004.01,6.01,
2004.02,5.74,
2004.03,5.54,
2004.04,5.6,
2004.05,5.98,
2004.06,6.33,
2004.07,6.36,
2004.08,6.27,
2004.09,6.24,
2004.10,6.22,
2004.11,6.3,
2004.12,6.08,
2005.01,5.74,
2005.02,5.61,
2005.03,5.67,
2005.04,5.87,
2005.05,5.46,
2005.06,4.85,
2005.07,4.86,
2005.08,4.7,
2005.09,4.74,
2005.10,4.73,
2005.11,4.61,
2005.12,4.46,
2006.01,4.62,
2006.02,4.4,
2006.03,4.31,
2006.04,4.06,
2006.05,4.1,
2006.06,3.98,
2006.07,4.28,
2006.08,4.4,
2006.09,3.93,
2006.10,4,
2006.11,4.14,
2006.12,4.08,
2007.01,4.03,
2007.02,3.81,
2007.03,3.74,
2007.04,3.47,
2007.05,3.4,
2007.06,3.47,
2007.07,3.55,
2007.08,3.83,
2007.09,3.75,
2007.10,3.71,
2007.11,3.85,
2007.12,4.45,
2008.01,4.44,
2008.02,4.28,
2008.03,4.36,
2008.04,4.56,
2008.05,5.08,
2008.06,5.6,
2008.07,5.49,
2008.08,5.16,
2008.09,5.01,
2008.10,5.4,
2008.11,5.45,
2008.12,4.93,
2009.01,4.7,
2009.02,4.57,
2009.03,4.14,
2009.04,4.21,
2009.05,4.14,
2009.06,4.06,
2009.07,4.09,
2009.08,3.97,
2009.09,4.19,
2009.10,4.32,
2009.11,4.35,
2009.12,4.4,
2010.01,4.68,
2010.02,4.66,
2010.03,4.7,
2010.04,4.86,
2010.05,4.88,
2010.06,4.74,
2010.07,4.82,
2010.08,4.98,
2010.09,5.31,
2010.10,5.42,
2010.11,5.61,
2010.12,5.52,
2011.01,5.67,
2011.02,5.61,
2011.03,5.61,
2011.04,4.86,
2011.05,4.88,
2011.06,4.74,
2011.07,5.35,
2011.08,5.47,
2011.09,5.8,
2011.10,5.56,
2011.11,5.53,
2011.12,5.35,
2012.01,5.3,
2012.02,5.26,
2012.03,5.43,
2012.04,5.57,
2012.05,5.52,
2012.06,5.38,
2012.07,5.58,
2012.08,5.68,
2012.09,5.64,
2012.10,5.47,
2012.11,5.36,
2012.12,5.63,
2013.01,5.7,
2013.02,5.5,
2013.03,5.53,
2013.04,5.56,
2013.05,5.62,
2013.06,5.74,
2013.07,5.66,
2013.08,6.06,
2013.09,6.16,
2013.10,6.25,
2013.11,6.14,
2013.12,6.11,
2014.01,6.02,
2014.02,6.17,
2014.03,6.42,
2014.04,6.22,
2014.05,6.03,
2014.06,6.01,
2014.07,5.95,
2014.08,6.15,
2014.09,6.33,
2014.10,6.41,
2014.11,6.56,
2014.12,6.73,
2015.01,6.97,
2015.02,6.88,
2015.03,7.01,
2015.04,6.17,
2015.05,6.11,
2015.06,6.38,
2015.07,5.98,
2015.08,5.66,
2015.09,6.15,
2015.10,6.72,
2015.11,7.16,
2015.12,7.19,
2016.01,7.29,
2016.02,7.01,
2016.03,6.52,
2016.04,6.21,
2016.05,6.17,
2016.06,6.01,
2016.07,5.7,
2016.08,5.44,
2016.09,5.07,
2016.10,4.87,
2016.11,4.8,
2016.12,4.69,
2017.01,4.71,
2017.02,4.53,
2017.03,4.45,
2017.04,4.45,
2017.05,4.64,
2017.06,4.12,
2017.07,4.47,
2017.08,4.37,
2017.09,3.89,
2017.10,4.14,
2017.11,3.99,
2017.12,3.8,
2018.01,3.98,
2018.02,3.92,
2018.03,3.86,
2018.04,4.07,
2018.05,4.35,
2018.06,4.77,
2018.07,3.74,
2018.08,3.65,
2018.09,4.14,
2018.10,4.02,
2018.11,3.4,
2018.12,3.68,
2019.01,3.98,
2019.02,3.94,
2019.03,3.98,
2019.04,3.72,
2019.05,3.54,
2019.06,3.49,
2019.07,3.65,
2019.08,3.49,
2019.09,3.34,
2019.10,3.37,
2019.11,3.81,
2019.12,4.1,
2020.01,3.44,
2020.02,3.46,
2020.03,3.13,
2020.04,2.5,
2020.05,2.67,
2020.06,3.22,
