Data,IPCA - núcleo médias aparadas com suavização - taxa de variação - (% a.m.) - Banco Central do Brasil- Boletim- Seção Atividade Econômica (Bacen / Boletim / Ativ. Ec.) - BM12_IPCA2012,
1996.01,1.51,
1996.02,1.04,
1996.03,1.07,
1996.04,1.25,
1996.05,1.28,
1996.06,1.25,
1996.07,1.16,
1996.08,0.91,
1996.09,0.59,
1996.10,0.6,
1996.11,0.6,
1996.12,0.62,
1997.01,0.81,
1997.02,0.57,
1997.03,0.56,
1997.04,0.64,
1997.05,0.49,
1997.06,0.46,
1997.07,0.46,
1997.08,0.26,
1997.09,0.19,
1997.10,0.33,
1997.11,0.16,
1997.12,0.33,
1998.01,0.4,
1998.02,0.4,
1998.03,0.41,
1998.04,0.18,
1998.05,0.23,
1998.06,0.14,
1998.07,0.19,
1998.08,-0.07,
1998.09,0.05,
1998.10,0.06,
1998.11,0,
1998.12,0.05,
1999.01,0.31,
1999.02,0.63,
1999.03,0.45,
1999.04,0.44,
1999.05,0.24,
1999.06,0.25,
1999.07,0.31,
1999.08,0.43,
1999.09,0.4,
1999.10,0.68,
1999.11,0.46,
1999.12,0.58,
2000.01,0.48,
2000.02,0.44,
2000.03,0.37,
2000.04,0.45,
2000.05,0.35,
2000.06,0.42,
2000.07,0.58,
2000.08,0.58,
2000.09,0.4,
2000.10,0.4,
2000.11,0.3,
2000.12,0.36,
2001.01,0.41,
2001.02,0.52,
2001.03,0.57,
2001.04,0.46,
2001.05,0.6,
2001.06,0.73,
2001.07,0.65,
2001.08,0.56,
2001.09,0.57,
2001.10,0.57,
2001.11,0.77,
2001.12,0.78,
2002.01,0.52,
2002.02,0.54,
2002.03,0.58,
2002.04,0.56,
2002.05,0.51,
2002.06,0.4,
2002.07,0.51,
2002.08,0.65,
2002.09,0.78,
2002.10,0.78,
2002.11,1.32,
2002.12,1.36,
2003.01,1.32,
2003.02,0.93,
2003.03,1.23,
2003.04,1.1,
2003.05,1,
2003.06,0.87,
2003.07,0.65,
2003.08,0.58,
2003.09,0.86,
2003.10,0.77,
2003.11,0.56,
2003.12,0.72,
2004.01,0.73,
2004.02,0.48,
2004.03,0.76,
2004.04,0.57,
2004.05,0.59,
2004.06,0.6,
2004.07,0.55,
2004.08,0.55,
2004.09,0.56,
2004.10,0.6,
2004.11,0.62,
2004.12,0.67,
2005.01,0.66,
2005.02,0.6,
2005.03,0.62,
2005.04,0.7,
2005.05,0.65,
2005.06,0.49,
2005.07,0.45,
2005.08,0.36,
2005.09,0.51,
2005.10,0.58,
2005.11,0.51,
2005.12,0.43,
2006.01,0.61,
2006.02,0.49,
2006.03,0.45,
2006.04,0.41,
2006.05,0.47,
2006.06,0.3,
2006.07,0.29,
2006.08,0.23,
2006.09,0.32,
2006.10,0.32,
2006.11,0.27,
2006.12,0.38,
2007.01,0.39,
2007.02,0.24,
2007.03,0.29,
2007.04,0.29,
2007.05,0.3,
2007.06,0.34,
2007.07,0.2,
2007.08,0.4,
2007.09,0.34,
2007.10,0.43,
2007.11,0.36,
2007.12,0.4,
2008.01,0.37,
2008.02,0.27,
2008.03,0.39,
2008.04,0.48,
2008.05,0.5,
2008.06,0.49,
2008.07,0.36,
2008.08,0.36,
2008.09,0.45,
2008.10,0.37,
2008.11,0.35,
2008.12,0.33,
2009.01,0.42,
2009.02,0.29,
2009.03,0.35,
2009.04,0.35,
2009.05,0.44,
2009.06,0.39,
2009.07,0.3,
2009.08,0.25,
2009.09,0.39,
2009.10,0.31,
2009.11,0.37,
2009.12,0.41,
2010.01,0.48,
2010.02,0.39,
2010.03,0.46,
2010.04,0.5,
2010.05,0.62,
2010.06,0.4,
2010.07,0.25,
2010.08,0.33,
2010.09,0.43,
2010.10,0.55,
2010.11,0.56,
2010.12,0.52,
2011.01,0.54,
2011.02,0.4,
2011.03,0.49,
2011.04,0.6,
2011.05,0.64,
2011.06,0.54,
2011.07,0.41,
2011.08,0.55,
2011.09,0.58,
2011.10,0.59,
2011.11,0.55,
2011.12,0.58,
2012.01,0.47,
2012.02,0.41,
2012.03,0.28,
2012.04,0.51,
2012.05,0.45,
2012.06,0.39,
2012.07,0.4,
2012.08,0.5,
2012.09,0.49,
2012.10,0.54,
2012.11,0.49,
2012.12,0.56,
2013.01,0.73,
2013.02,0.53,
2013.03,0.47,
2013.04,0.53,
2013.05,0.52,
2013.06,0.36,
2013.07,0.29,
2013.08,0.42,
2013.09,0.43,
2013.10,0.58,
2013.11,0.45,
2013.12,0.58,
2014.01,0.55,
2014.02,0.51,
2014.03,0.59,
2014.04,0.56,
2014.05,0.64,
2014.06,0.56,
2014.07,0.35,
2014.08,0.4,
2014.09,0.54,
2014.10,0.51,
2014.11,0.38,
2014.12,0.49,
2015.01,0.74,
2015.02,0.77,
2015.03,0.76,
2015.04,0.72,
2015.05,0.75,
2015.06,0.72,
2015.07,0.67,
2015.08,0.56,
2015.09,0.64,
2015.10,0.66,
2015.11,0.75,
2015.12,0.79,
2016.01,0.84,
2016.02,0.73,
2016.03,0.61,
2016.04,0.67,
2016.05,0.73,
2016.06,0.59,
2016.07,0.51,
2016.08,0.55,
2016.09,0.34,
2016.10,0.4,
2016.11,0.39,
2016.12,0.37,
2017.01,0.38,
2017.02,0.26,
2017.03,0.28,
2017.04,0.34,
2017.05,0.23,
2017.06,0.28,
2017.07,0.15,
2017.08,0.26,
2017.09,0.24,
2017.10,0.34,
2017.11,0.2,
2017.12,0.46,
2018.01,0.28,
2018.02,0.25,
2018.03,0.26,
2018.04,0.21,
2018.05,0.22,
2018.06,0.42,
2018.07,0.36,
2018.08,0.31,
2018.09,0.28,
2018.10,0.26,
2018.11,0.34,
2018.12,0.38,
2019.01,0.47,
2019.02,0.2,
2019.03,0.33,
2019.04,0.37,
2019.05,0.29,
2019.06,0.2,
2019.07,0.18,
2019.08,0.23,
2019.09,0.13,
