Data;Meio de pagamento restrito - M1 - fim de período - R$ - Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda) - BM12_M1N12;
1946.01;1,41818181818182E-11;
1946.02;1,40727272727273E-11;
1946.03;1,37818145454545E-11;
1946.04;1,48727236363636E-11;
1946.05;1,51636327272727E-11;
1946.06;1,53818181818182E-11;
1946.07;1,55272727272727E-11;
1946.08;1,58909054545455E-11;
1946.09;1,6E-11;
1946.10;1,60727272727273E-11;
1946.11;1,62181818181818E-11;
1946.12;1,60363672727273E-11;
1947.01;1,60363672727273E-11;
1947.02;1,61090909090909E-11;
1947.03;1,61090909090909E-11;
1947.04;1,59272727272727E-11;
1947.05;1,57454545454545E-11;
1947.06;1,59636327272727E-11;
1947.07;1,6E-11;
1947.08;1,59636327272727E-11;
1947.09;1,58909054545455E-11;
1947.10;1,57454545454545E-11;
1947.11;1,57454545454545E-11;
1947.12;1,57454545454545E-11;
1948.01;1,58181818181818E-11;
1948.02;1,58545454545455E-11;
1948.03;1,55272727272727E-11;
1948.04;1,57090872727273E-11;
1948.05;1,55272727272727E-11;
1948.06;1,58181818181818E-11;
1948.07;1,57454545454545E-11;
1948.08;1,59272727272727E-11;
1948.09;1,60363672727273E-11;
1948.10;1,61818181818182E-11;
1948.11;1,63636363636364E-11;
1948.12;1,69454545454545E-11;
1949.01;1,71272727272727E-11;
1949.02;1,72E-11;
1949.03;1,74181781818182E-11;
1949.04;1,75636363636364E-11;
1949.05;1,76727272727273E-11;
1949.06;1,82181818181818E-11;
1949.07;1,85090872727273E-11;
1949.08;1,85454545454545E-11;
1949.09;1,88727236363636E-11;
1949.10;1,90181818181818E-11;
1949.11;1,92E-11;
1949.12;1,99272727272727E-11;
1950.01;1,96363636363636E-11;
1950.02;1,97454545454545E-11;
1950.03;2,00363672727273E-11;
1950.04;2,02181818181818E-11;
1950.05;2,06545454545455E-11;
1950.06;2,15272727272727E-11;
1950.07;2,21818181818182E-11;
1950.08;2,31999927272727E-11;
1950.09;2,43999963636364E-11;
1950.10;2,50181709090909E-11;
1950.11;2,50181709090909E-11;
1950.12;2,61818072727273E-11;
1951.01;2,607272E-11;
1951.02;2,63272618181818E-11;
1951.03;2,66908945454545E-11;
1951.04;2,66908945454545E-11;
1951.05;2,72727236363636E-11;
1951.06;2,74545272727273E-11;
1951.07;2,81818145454545E-11;
1951.08;2,90181636363636E-11;
1951.09;2,90181636363636E-11;
1951.10;2,96727090909091E-11;
1951.11;2,97454472727273E-11;
1951.12;3,04727127272727E-11;
1952.01;3,04727127272727E-11;
1952.02;3,04727127272727E-11;
1952.03;3,07272581818182E-11;
1952.04;3,07272581818182E-11;
1952.05;3,05818E-11;
1952.06;3,11636290909091E-11;
1952.07;3,18545418181818E-11;
1952.08;3,27999818181818E-11;
1952.09;3,33818072727273E-11;
1952.10;3,38545272727273E-11;
1952.11;3,42908981818182E-11;
1952.12;3,51636181818182E-11;
1953.01;3,51999890909091E-11;
1953.02;3,57090763636364E-11;
1953.03;3,57090763636364E-11;
1953.04;3,62545345454545E-11;
1953.05;3,68727272727273E-11;
1953.06;3,8E-11;
1953.07;3,78181818181818E-11;
1953.08;3,83272727272727E-11;
1953.09;3,87636363636364E-11;
1953.10;3,98545090909091E-11;
1953.11;4,09454545454545E-11;
1953.12;4,19636363636364E-11;
1954.01;4,27272363636364E-11;
1954.02;4,34545454545454E-11;
1954.03;4,36E-11;
1954.04;4,45090909090909E-11;
1954.05;4,44E-11;
1954.06;4,50181818181818E-11;
1954.07;4,59636363636364E-11;
1954.08;4,81818181818182E-11;
1954.09;4,93090909090909E-11;
1954.10;5,06545454545455E-11;
1954.11;5,05454545454545E-11;
1954.12;5,18909090909091E-11;
1955.01;5,15999636363636E-11;
1955.02;5,21090909090909E-11;
1955.03;5,27636363636364E-11;
1955.04;5,34545454545454E-11;
1955.05;5,38545454545454E-11;
1955.06;5,51636363636364E-11;
1955.07;5,52363636363636E-11;
1955.08;5,64363272727273E-11;
1955.09;5,79636363636364E-11;
1955.10;5,89818181818182E-11;
1955.11;5,93090909090909E-11;
1955.12;6,04E-11;
1956.01;6,08363636363636E-11;
1956.02;6,19272363636364E-11;
1956.03;6,30908727272727E-11;
1956.04;6,42545454545454E-11;
1956.05;6,59636E-11;
1956.06;6,70545454545454E-11;
1956.07;6,78181818181818E-11;
1956.08;6,79636363636364E-11;
1956.09;6,89817818181818E-11;
1956.10;6,96727272727273E-11;
1956.11;7,09090909090909E-11;
1956.12;7,36E-11;
1957.01;7,34909090909091E-11;
1957.02;7,45090909090909E-11;
1957.03;7,54545454545454E-11;
1957.04;7,66908727272727E-11;
1957.05;7,80727272727273E-11;
1957.06;7,94181454545454E-11;
1957.07;8,07636363636364E-11;
1957.08;8,20363636363636E-11;
1957.09;8,54181454545454E-11;
1957.10;8,89454545454545E-11;
1957.11;9,2E-11;
1957.12;9,72362909090909E-11;
1958.01;9,89090909090909E-11;
1958.02;1,01054509090909E-10;
1958.03;1,032E-10;
1958.04;1,05890872727273E-10;
1958.05;1,06872690909091E-10;
1958.06;1,09127309090909E-10;
1958.07;1,10363636363636E-10;
1958.08;1,11854581818182E-10;
1958.09;1,15418145454545E-10;
1958.10;1,15927272727273E-10;
1958.11;1,17854581818182E-10;
1958.12;1,19563636363636E-10;
1959.01;1,21309090909091E-10;
1959.02;1,21999963636364E-10;
1959.03;1,24981781818182E-10;
1959.04;1,27454545454545E-10;
1959.05;1,291636E-10;
1959.06;1,33018181818182E-10;
1959.07;1,38145418181818E-10;
1959.08;1,45563636363636E-10;
1959.09;1,51127309090909E-10;
1959.10;1,56E-10;
1959.11;1,619636E-10;
1959.12;1,70836363636364E-10;
1960.01;1,71890872727273E-10;
1960.02;1,76036363636364E-10;
1960.03;1,78981781818182E-10;
1960.04;1,81672763636364E-10;
1960.05;1,85381818181818E-10;
1960.06;1,89781781818182E-10;
1960.07;1,91818181818182E-10;
1960.08;1,97890872727273E-10;
1960.09;2,08472727272727E-10;
1960.10;2,15345418181818E-10;
1960.11;2,23309090909091E-10;
1960.12;2,37054509090909E-10;
1961.01;2,38545454545455E-10;
1961.02;2,49090872727273E-10;
1961.03;2,57818181818182E-10;
1961.04;2,61818181818182E-10;
1961.05;2,62909090909091E-10;
1961.06;2,68727272727273E-10;
1961.07;2,76363636363636E-10;
1961.08;2,91272727272727E-10;
1961.09;2,98181818181818E-10;
1961.10;3,15636363636364E-10;
1961.11;3,28727272727273E-10;
1961.12;3,61454545454546E-10;
1962.01;3,63636363636364E-10;
1962.02;3,72363272727273E-10;
1962.03;3,73818181818182E-10;
1962.04;3,86181454545454E-10;
1962.05;3,96727272727273E-10;
1962.06;4,13818181818182E-10;
1962.07;4,32363272727273E-10;
1962.08;4,57454181818182E-10;
1962.09;4,79272727272727E-10;
1962.10;5,02908727272727E-10;
1962.11;5,23636363636364E-10;
1962.12;5,93090909090909E-10;
1963.01;5,89454181818182E-10;
1963.02;5,95636363636364E-10;
1963.03;5,95636363636364E-10;
1963.04;5,96727272727273E-10;
1963.05;6,22908727272727E-10;
1963.06;6,56E-10;
1963.07;6,72726909090909E-10;
1963.08;7,13454545454545E-10;
1963.09;7,54908727272727E-10;
1963.10;7,90181454545454E-10;
1963.11;8,43999636363636E-10;
1963.12;9,76363272727273E-10;
1964.01;9,72726909090909E-10;
1964.02;1,05854509090909E-09;
1964.03;1,05854509090909E-09;
1964.04;1,08181781818182E-09;
1964.05;1,14836363636364E-09;
1964.06;1,25818145454545E-09;
1964.07;1,28581781818182E-09;
1964.08;1,36981781818182E-09;
1964.09;1,44254509090909E-09;
1964.10;1,53236363636364E-09;
1964.11;1,61272690909091E-09;
1964.12;1,77272727272727E-09;
1965.01;1,77672727272727E-09;
1965.02;1,86799963636364E-09;
1965.03;1,92545418181818E-09;
1965.04;2,016E-09;
1965.05;2,11709090909091E-09;
1965.06;2,29672727272727E-09;
1965.07;2,40109090909091E-09;
1965.08;2,548E-09;
1965.09;2,68E-09;
1965.10;2,81527272727273E-09;
1965.11;2,88254509090909E-09;
1965.12;3,18181818181818E-09;
1966.01;3,05309090909091E-09;
1966.02;3,02690872727273E-09;
1966.03;3,02690872727273E-09;
1966.04;3,04327236363636E-09;
1966.05;3,09854545454545E-09;
1966.06;3,21709054545455E-09;
1966.07;3,17818181818182E-09;
1966.08;3,25927236363636E-09;
1966.09;3,29890909090909E-09;
1966.10;3,34072690909091E-09;
1966.11;3,383636E-09;
1966.12;3,62145454545454E-09;
1967.01;3,57381781818182E-09;
1967.02;3,77709090909091E-09;
1967.03;3,77709090909091E-09;
1967.04;3,98581818181818E-09;
1967.05;4,184E-09;
1967.06;4,40036363636364E-09;
1967.07;4,48981818181818E-09;
1967.08;4,66545454545455E-09;
1967.09;4,79090909090909E-09;
1967.10;4,88145454545454E-09;
1967.11;5,10763636363636E-09;
1967.12;5,27745454545455E-09;
1968.01;5,19054545454545E-09;
1968.02;5,67890909090909E-09;
1968.03;5,67890909090909E-09;
