Data;Meio de pagamento ampliado - M3 - fim de período - R$ - Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda) - BM12_M3NCN12;
1988.07;0,00521047345454545;
1988.08;0,00633904145454545;
1988.09;0,00787359272727273;
1988.10;0,00999458290909091;
1988.11;0,0125915054545455;
1988.12;0,0168712087272727;
1989.01;0,019582181818;
1989.02;0,021968;
1989.03;0,025624;
1989.04;0,0303261818181818;
1989.05;0,0324774545454545;
1989.06;0,0386487272727273;
1989.07;0,0474450909090909;
1989.08;0,060924;
1989.09;0,0799981818181818;
1989.10;0,108494181818182;
1989.11;0,148388363636364;
1989.12;0,239225818181818;
1990.01;0,350736727272727;
1990.02;0,660653818181818;
1990.03;0,963521454545455;
1990.04;0,908961454545455;
1990.05;1,02338654545455;
1990.06;1,15038181818182;
1990.07;1,28708290909091;
1990.08;1,48646618181818;
1990.09;1,75585890909091;
1990.10;1,99442145454545;
1990.11;2,31575745454545;
1990.12;2,82256545454545;
1991.01;3,16313272727273;
1991.02;3,70301672727273;
1991.03;4,87599672727273;
1991.04;5,36341854545455;
1991.05;5,99959527272727;
1991.06;6,78036690909091;
1991.07;7,66144618181818;
1991.08;8,87362072727273;
1991.09;10,5674530909091;
1991.10;12,48168;
1991.11;16,2149530909091;
1991.12;22,089136;
1992.01;28,1804203636364;
1992.02;37,1366556363636;
1992.03;47,2399472727273;
1992.04;58,8238803636364;
1992.05;73,5356549090909;
1992.06;92,0222072727273;
1992.07;115,891502181818;
1992.08;146,990928363636;
1992.09;186,710341090909;
1992.10;236,666165454545;
1992.11;303,520106181818;
1992.12;389,876514909091;
1993.01;491,892493454546;
1993.02;624,806876;
1993.03;783,558488363636;
1993.04;1009,82508363636;
1993.05;1312,51381818182;
1993.06;1730,48297490909;
1993.07;2314,72796727273;
1993.08;3176,07190909091;
1993.09;4192,01636363636;
1993.10;5840,70909090909;
1993.11;8240,052;
1993.12;11759,3116363636;
1994.01;16806,1952727273;
1994.02;23641,8054545455;
1994.03;33857,9989090909;
1994.04;49571,8556363636;
1994.05;73840,3389090909;
1994.06;111163,534454545;
1994.07;119517,238;
1994.08;126350,778;
1994.09;133789,246;
1994.10;140076,495;
1994.11;145349,475;
1994.12;154543,576784351;
1995.01;161112,694924894;
1995.02;167091,459763215;
1995.03;166219,743828496;
1995.04;168830,287035635;
1995.05;171253,297873644;
1995.06;175436,914847497;
1995.07;182968,893819579;
1995.08;192895,842676648;
1995.09;198375,274093056;
1995.10;205544,556413983;
1995.11;213826,621989612;
1995.12;225007,97272895;
1996.01;229469,14483412;
1996.02;234718,544590069;
1996.03;238420,441793081;
1996.04;242210,83721443;
1996.05;245327,335208244;
1996.06;248694,508746313;
1996.07;252019,886501141;
1996.08;256610,711331933;
1996.09;263601,330539551;
1996.10;267420,564718316;
1996.11;275559,790409656;
1996.12;285941,62140385;
1997.01;295594,382446341;
1997.02;298738,865587071;
1997.03;302125,341235625;
1997.04;304149,192725304;
1997.05;306639,674794813;
1997.06;312207,388613926;
1997.07;315583,618681439;
1997.08;320392,34889779;
1997.09;328036,140012342;
1997.10;333409,301553803;
1997.11;335477,311668;
1997.12;340209,50159685;
1998.01;342318,042882027;
1998.02;355061,987629833;
1998.03;355061,987629833;
1998.04;356915,446415948;
1998.05;360802,436237269;
1998.06;365828,371987033;
1998.07;370768,646684549;
1998.08;372055,962704214;
1998.09;362408,769584555;
1998.10;361778,353207579;
1998.11;369958,81119617;
1998.12;376118,19855456;
1999.01;382728,718677034;
1999.02;390781,909278172;
1999.03;395690,393608052;
1999.04;399006,699968015;
1999.05;402925,942456991;
1999.06;409740,106059692;
1999.07;416477,995306336;
1999.08;420190,360535654;
1999.09;430739,203640768;
1999.10;438263,572554159;
1999.11;446012,224475969;
1999.12;468761,290783148;
2000.01;475789,608015604;
2000.02;485838,071229439;
2000.03;488779,471418442;
2000.04;492621,170952882;
2000.05;500273,944604134;
2000.06;521330,505980881;
2000.07;523731,242038381;
2000.08;526772,367082519;
2000.09;532149,561065461;
