observation_date;CPALTT01USM657N
1955-02-01;100
1955-03-01;100
1955-04-01;100
1955-05-01;100
1955-06-01;100
1955-07-01;100,3745318
1955-08-01;100,3745318
1955-09-01;100,7490637
1955-10-01;100,7490637
1955-11-01;100,7490637
1955-12-01;100,3745318
1956-01-01;100,3745318
1956-02-01;100,3745318
1956-03-01;100,3745318
1956-04-01;100,7490637
1956-05-01;101,1235955
1956-06-01;101,8726592
1956-07-01;102,6217228
1956-08-01;102,247191
1956-09-01;102,6217228
1956-10-01;102,9962547
1956-11-01;102,9962547
1956-12-01;103,3707865
1957-01-01;103,3707865
1957-02-01;103,7453184
1957-03-01;104,1198502
1957-04-01;104,494382
1957-05-01;104,8689139
1957-06-01;105,2434457
1957-07-01;105,9925094
1957-08-01;105,9925094
1957-09-01;105,9925094
1957-10-01;105,9925094
1957-11-01;106,3670412
1957-12-01;106,3670412
1958-01-01;107,1161049
1958-02-01;107,1161049
1958-03-01;107,8651685
1958-04-01;108,2397004
1958-05-01;108,2397004
1958-06-01;108,2397004
1958-07-01;108,6142322
1958-08-01;108,2397004
1958-09-01;108,2397004
1958-10-01;108,2397004
1958-11-01;108,6142322
1958-12-01;108,2397004
1959-01-01;108,6142322
1959-02-01;108,2397004
1959-03-01;108,2397004
1959-04-01;108,6142322
1959-05-01;108,6142322
1959-06-01;108,988764
1959-07-01;109,3632959
1959-08-01;109,3632959
1959-09-01;109,7378277
1959-10-01;110,1123596
1959-11-01;110,1123596
1959-12-01;110,1123596
1960-01-01;109,7378277
1960-02-01;110,1123596
1960-03-01;110,1123596
1960-04-01;110,4868914
1960-05-01;110,4868914
1960-06-01;110,8614232
1960-07-01;110,8614232
1960-08-01;110,8614232
1960-09-01;110,8614232
1960-10-01;111,6104869
1960-11-01;111,6104869
1960-12-01;111,6104869
1961-01-01;111,6104869
1961-02-01;111,6104869
1961-03-01;111,6104869
1961-04-01;111,6104869
1961-05-01;111,6104869
1961-06-01;111,6104869
1961-07-01;112,3595506
1961-08-01;111,9850187
1961-09-01;112,3595506
1961-10-01;112,3595506
1961-11-01;112,3595506
1961-12-01;112,3595506
1962-01-01;112,3595506
1962-02-01;112,7340824
1962-03-01;112,7340824
1962-04-01;113,1086142
1962-05-01;113,1086142
1962-06-01;113,1086142
1962-07-01;113,4831461
1962-08-01;113,4831461
1962-09-01;113,8576779
1962-10-01;113,8576779
1962-11-01;113,8576779
1962-12-01;113,8576779
1963-01-01;113,8576779
1963-02-01;113,8576779
1963-03-01;114,2322097
1963-04-01;114,2322097
1963-05-01;114,2322097
1963-06-01;114,6067416
1963-07-01;114,9812734
1963-08-01;114,9812734
1963-09-01;114,9812734
1963-10-01;115,3558052
1963-11-01;115,3558052
1963-12-01;115,7303371
1964-01-01;115,7303371
1964-02-01;115,7303371
1964-03-01;115,7303371
1964-04-01;115,7303371
1964-05-01;115,7303371
1964-06-01;116,1048689
1964-07-01;116,4794007
1964-08-01;116,1048689
1964-09-01;116,4794007
1964-10-01;116,4794007
1964-11-01;116,8539326
1964-12-01;116,8539326
1965-01-01;116,8539326
1965-02-01;116,8539326
1965-03-01;117,2284644
1965-04-01;117,6029963
1965-05-01;117,6029963
1965-06-01;118,3520599
1965-07-01;118,3520599
1965-08-01;118,3520599
1965-09-01;118,3520599
1965-10-01;118,7265918
1965-11-01;118,7265918
1965-12-01;119,1011236
1966-01-01;119,1011236
1966-02-01;119,8501873
1966-03-01;120,2247191
1966-04-01;120,9737828
1966-05-01;120,9737828
1966-06-01;121,3483146
1966-07-01;121,7228464
1966-08-01;122,4719101
1966-09-01;122,4719101
1966-10-01;123,2209738
1966-11-01;123,2209738
1966-12-01;123,2209738
1967-01-01;123,2209738
1967-02-01;123,2209738
1967-03-01;123,5955056
1967-04-01;123,9700375
1967-05-01;124,3445693
1967-06-01;124,7191011
1967-07-01;125,093633
1967-08-01;125,4681648
1967-09-01;125,8426966
1967-10-01;126,2172285
1967-11-01;126,5917603
1967-12-01;126,9662921
1968-01-01;127,7153558
1968-02-01;128,0898876
1968-03-01;128,4644195
1968-04-01;128,8389513
1968-05-01;129,2134831
1968-06-01;129,9625468
1968-07-01;130,7116105
1968-08-01;131,0861423
1968-09-01;131,4606742
1968-10-01;132,2097378
1968-11-01;132,5842697
1968-12-01;132,9588015
1969-01-01;133,3333333
1969-02-01;134,082397
1969-03-01;135,2059925
1969-04-01;135,9550562
1969-05-01;136,329588
1969-06-01;137,0786517
1969-07-01;137,8277154
1969-08-01;138,576779
1969-09-01;138,9513109
1969-10-01;139,7003745
1969-11-01;140,4494382
1969-12-01;141,1985019
1970-01-01;141,5730337
1970-02-01;142,3220974
1970-03-01;143,071161
1970-04-01;144,1947566
1970-05-01;144,5692884
1970-06-01;145,3183521
1970-07-01;146,0674157
1970-08-01;146,0674157
1970-09-01;146,8164794
1970-10-01;147,5655431
1970-11-01;148,3146067
1970-12-01;149,0636704
1971-01-01;149,0636704
1971-02-01;149,4382022
1971-03-01;149,8127341
1971-04-01;150,1872659
1971-05-01;150,9363296
1971-06-01;152,0599251
1971-07-01;152,4344569
1971-08-01;152,8089888
1971-09-01;152,8089888
1971-10-01;153,1835206
1971-11-01;153,1835206
1971-12-01;153,9325843
1972-01-01;153,9325843
1972-02-01;154,6816479
1972-03-01;155,0561798
1972-04-01;155,4307116
1972-05-01;155,8052434
1972-06-01;156,1797753
1972-07-01;156,928839
1972-08-01;157,3033708
1972-09-01;157,6779026
1972-10-01;158,4269663
1972-11-01;158,8014981
1972-12-01;159,17603
1973-01-01;159,5505618
1973-02-01;160,6741573
1973-03-01;162,1722846
1973-04-01;163,2958801
1973-05-01;164,4194757
1973-06-01;165,5430712
1973-07-01;165,917603
1973-08-01;168,9138577
1973-09-01;169,2883895
1973-10-01;170,7865169
1973-11-01;171,9101124
1973-12-01;173,0337079
1974-01-01;174,5318352
1974-02-01;176,7790262
1974-03-01;179,0262172
1974-04-01;179,7752809
1974-05-01;182,0224719
1974-06-01;183,5205993
1974-07-01;185,0187266
1974-08-01;187,2659176
1974-09-01;189,5131086
1974-10-01;191,3857678
1974-11-01;192,8838951
1974-12-01;194,3820225
1975-01-01;195,1310861
1975-02-01;196,6292135
1975-03-01;197,3782772
1975-04-01;198,1273408
1975-05-01;199,2509363
1975-06-01;200,7490637
1975-07-01;202,9962547
