Data,Taxa de câmbio - R$ / US$ - comercial - compra - média - R$ - Banco Central do Brasil- Boletim- Seção Balanço de Pagamentos (Bacen / Boletim / BP) - BM12_ERC12,
1953.01,6.68363636363636E-15,
1953.02,1.33782909090909E-14,
1953.03,1.33782909090909E-14,
1953.04,1.48836363636364E-14,
1953.05,1.42756727272727E-14,
1953.06,1.56702909090909E-14,
1953.07,1.58463272727273E-14,
1953.08,1.44246181818182E-14,
1953.09,1.36315272727273E-14,
1953.10,1.34909090909091E-14,
1953.11,1.36593818181818E-14,
1953.12,1.85865090909091E-14,
1954.01,1.97829818181818E-14,
1954.02,1.94156E-14,
1954.03,2.12504363636364E-14,
1954.04,2.05078909090909E-14,
1954.05,1.84164363636364E-14,
1954.06,2.00121090909091E-14,
1954.07,2.04222909090909E-14,
1954.08,2.12879636363636E-14,
1954.09,2.17697090909091E-14,
1954.10,2.25501454545455E-14,
1954.11,2.33393818181818E-14,
1954.12,2.53313818181818E-14,
1955.01,2.61583636363636E-14,
1955.02,2.54675272727273E-14,
1955.03,2.58474909090909E-14,
1955.04,2.67393818181818E-14,
1955.05,2.69090909090909E-14,
1955.06,2.68969818181818E-14,
1955.07,2.64218181818182E-14,
1955.08,2.52609818181818E-14,
1955.09,2.48666545454545E-14,
1955.10,2.36129090909091E-14,
1955.11,2.29151636363636E-14,
1955.12,2.31143636363636E-14,
1956.01,2.34838545454545E-14,
1956.02,2.43573818181818E-14,
1956.03,2.42521818181818E-14,
1956.04,2.47515272727273E-14,
1956.05,2.55953090909091E-14,
1956.06,2.76363636363636E-14,
1956.07,2.74956E-14,
1956.08,2.54545454545455E-14,
1956.09,2.52727272727273E-14,
1956.10,2.36363636363636E-14,
1956.11,2.36121090909091E-14,
1956.12,2.29325454545455E-14,
1957.01,2.30909090909091E-14,
1957.02,2.31127272727273E-14,
1957.03,2.33454545454545E-14,
1957.04,2.30569818181818E-14,
1957.05,2.42404727272727E-14,
1957.06,2.59090909090909E-14,
1957.07,2.51261090909091E-14,
1957.08,2.63061454545455E-14,
1957.09,2.81454545454546E-14,
1957.10,2.92938545454545E-14,
1957.11,3.08254545454545E-14,
1957.12,3.31706909090909E-14,
1958.01,3.30451636363636E-14,
1958.02,3.54792363636364E-14,
1958.03,3.68070545454545E-14,
